,StartID,DestID,Weight,Trips
68,1,2,384,13
80,1,3,444,15
101,1,4,886,30
115,1,5,402,13
194,1,10,426,14
54,2,1,457,15
81,2,3,1892,63
102,2,4,2502,83
116,2,5,1347,45
119,2,6,1016,34
138,2,7,636,21
195,2,10,670,22
531,2,33,1132,38
55,3,1,500,17
69,3,2,1741,58
103,3,4,883,29
120,3,6,869,29
139,3,7,691,23
196,3,10,863,29
532,3,33,455,15
57,4,1,819,27
72,4,2,2156,72
83,4,3,664,22
121,4,6,1804,60
141,4,7,981,33
197,4,10,1797,60
203,4,11,780,26
533,4,33,391,13
73,5,2,1105,37
122,5,6,1197,40
198,5,10,748,25
204,5,11,394,13
74,6,2,1081,36
84,6,3,1035,35
108,6,4,1666,56
117,6,5,1123,37
142,6,7,717,24
199,6,10,891,30
205,6,11,963,32
534,6,33,909,30
58,7,1,424,14
75,7,2,729,24
85,7,3,707,24
110,7,4,923,31
124,7,6,910,30
200,7,10,935,31
206,7,11,423,14
209,8,12,547,18
269,8,15,560,19
285,8,16,885,30
346,8,18,636,21
352,8,19,495,17
358,8,20,561,19
369,8,21,664,22
372,8,22,848,28
381,8,23,428,14
386,8,24,580,19
396,8,25,422,14
408,8,26,898,30
412,8,27,1360,45
423,8,28,500,17
430,8,29,638,21
436,8,30,576,19
463,8,32,596,20
215,9,13,399,13
286,9,16,615,21
397,9,25,489,16
414,9,27,442,15
464,9,32,955,32
59,10,1,452,15
76,10,2,749,25
86,10,3,1023,34
112,10,4,1656,55
118,10,5,713,24
125,10,6,946,32
143,10,7,813,27
207,10,11,815,27
535,10,33,1298,43
113,11,4,677,23
126,11,6,932,31
144,11,7,404,13
201,11,10,687,23
536,11,33,383,13
156,12,8,435,15
216,12,13,1256,42
270,12,15,387,13
287,12,16,2024,67
330,12,17,421,14
181,13,9,391,13
210,13,12,1187,40
264,13,14,1548,52
271,13,15,5607,187
288,13,16,16661,555
331,13,17,3593,120
347,13,18,5876,196
353,13,19,1290,43
359,13,20,1147,38
370,13,21,788,26
373,13,22,1090,36
382,13,23,1060,35
387,13,24,879,29
398,13,25,427,14
409,13,26,956,32
415,13,27,1683,56
424,13,28,1721,57
431,13,29,874,29
437,13,30,477,16
466,13,32,1385,46
219,14,13,2785,93
274,14,15,819,27
291,14,16,13619,454
333,14,17,973,32
348,14,18,781,26
220,15,13,5983,199
265,15,14,491,16
292,15,16,1892,63
334,15,17,2194,73
416,15,27,542,18
425,15,28,446,15
468,15,32,1075,36
182,16,9,596,20
211,16,12,1664,55
221,16,13,18473,616
266,16,14,10348,345
275,16,15,1999,67
335,16,17,930,31
349,16,18,1455,49
354,16,19,1649,55
360,16,20,1633,54
371,16,21,1048,35
374,16,22,1500,50
383,16,23,1297,43
388,16,24,1152,38
399,16,25,423,14
410,16,26,1065,36
417,16,27,2293,76
426,16,28,1851,62
432,16,29,1358,45
438,16,30,619,21
441,16,31,398,13
469,16,32,2486,83
212,17,12,438,15
222,17,13,5337,178
267,17,14,585,20
276,17,15,2345,78
293,17,16,736,25
355,17,19,616,21
361,17,20,454,15
375,17,22,480,16
384,17,23,379,13
418,17,27,875,29
427,17,28,779,26
433,17,29,423,14
157,18,8,661,22
223,18,13,7359,245
268,18,14,579,19
277,18,15,613,20
294,18,16,1632,54
470,18,32,1489,50
158,19,8,573,19
224,19,13,1828,61
295,19,16,2024,67
336,19,17,578,19
471,19,32,711,24
159,20,8,476,16
225,20,13,1272,42
296,20,16,1842,61
337,20,17,400,13
472,20,32,648,22
161,21,8,637,21
228,21,13,1065,36
299,21,16,1383,46
419,21,27,467,16
473,21,32,430,14
162,22,8,658,22
229,22,13,1278,43
300,22,16,1379,46
338,22,17,394,13
164,23,8,487,16
231,23,13,1124,37
302,23,16,1310,44
339,23,17,393,13
474,23,32,459,15
165,24,8,833,28
232,24,13,1024,34
303,24,16,1483,49
400,24,25,460,15
428,24,28,512,17
475,24,32,828,28
168,25,8,440,15
183,25,9,651,22
213,25,12,405,14
234,25,13,462,15
278,25,15,401,13
305,25,16,826,28
350,25,18,416,14
356,25,19,416,14
376,25,22,516,17
389,25,24,477,16
420,25,27,1300,43
429,25,28,453,15
442,25,31,461,15
478,25,32,636,21
169,26,8,833,28
184,26,9,378,13
236,26,13,1182,39
307,26,16,1454,48
479,26,32,587,20
170,27,8,1231,41
185,27,9,584,19
237,27,13,2218,74
279,27,15,721,24
308,27,16,2796,93
340,27,17,718,24
401,27,25,986,33
434,27,29,397,13
480,27,32,913,30
171,28,8,384,13
238,28,13,1870,62
280,28,15,555,19
309,28,16,1959,65
341,28,17,661,22
390,28,24,427,14
481,28,32,439,15
172,29,8,721,24
239,29,13,1130,38
281,29,15,410,14
310,29,16,1529,51
342,29,17,379,13
421,29,27,379,13
482,29,32,918,31
173,30,8,517,17
240,30,13,515,17
311,30,16,728,24
483,30,32,502,17
241,31,13,520,17
312,31,16,485,16
402,31,25,483,16
484,31,32,1252,42
174,32,8,511,17
186,32,9,944,31
214,32,12,432,14
243,32,13,1741,58
282,32,15,979,33
314,32,16,2162,72
351,32,18,1347,45
357,32,19,543,18
362,32,20,655,22
377,32,22,435,15
385,32,23,472,16
391,32,24,748,25
403,32,25,566,19
411,32,26,604,20
422,32,27,918,31
435,32,29,651,22
439,32,30,423,14
445,32,31,988,33
78,33,2,1057,35
87,33,3,491,16
128,33,6,1056,35
202,33,10,1458,49
208,33,11,447,15
